[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000184s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.000347s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000186s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.000261s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000057s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_items` [ RunTime:0.000209s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000130s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SELECT `cid`,count(id) as cate_nums FROM `yjl_j_items` GROUP BY cid  [ RunTime:0.000070s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | NOTIC: [2] Invalid argument supplied for foreach() indexAction.class.php 第 81 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | INFO: Tag[ view_template ] --START--
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.006305s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006370s ]
