[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_access` [ RunTime:0.001267s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SELECT `node_id` FROM `yjl_j_access` WHERE role_id=1  [ RunTime:0.000543s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_node` [ RunTime:0.001671s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SELECT `id`,`action`,`action_name`,`module`,`module_name`,`data` FROM `yjl_j_node` WHERE auth_type<>2 AND status=1 AND is_show=0 AND group_id=6 ORDER BY sort DESC  [ RunTime:0.000515s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | NOTIC: [2] Invalid argument supplied for foreach() publicAction.class.php 第 25 行.
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run LocationTemplate Behavior [ RunTime:0.000971s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001048s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run ParseTemplate Behavior [ RunTime:0.010556s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010655s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_filter ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run ContentReplace Behavior [ RunTime:0.000354s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run TokenBuild Behavior [ RunTime:0.000299s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000195s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run ShowRuntime Behavior [ RunTime:0.000345s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001328s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000344s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000389s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001455s ]
