[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 47 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 47 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run ParseTemplate Behavior [ RunTime:0.013875s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013933s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_filter ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run ContentReplace Behavior [ RunTime:0.001083s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run TokenBuild Behavior [ RunTime:0.001061s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000894s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001049s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004226s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001039s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001088s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001768s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001893s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | SQL: SHOW COLUMNS FROM `yjl_supervisors` [ RunTime:0.001364s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined index:  p supervisorModel.class.php 第 37 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_supervisors` WHERE profession = 4 LIMIT 1   [ RunTime:0.000181s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | SQL: SELECT yjl_company.name as company,yjl_company.region,yjl_supervisors.* FROM `yjl_supervisors` LEFT JOIN yjl_company ON yjl_company.id = yjl_supervisors.cid WHERE profession = 4 ORDER BY addtime DESC LIMIT 0,1   [ RunTime:0.000192s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run LocationTemplate Behavior [ RunTime:0.001754s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001828s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined variable: web_title 8fc1b62dd067a8ae227fdf05b24233d5.php 第 15 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 45 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 45 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 46 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 46 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 47 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 47 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run ParseTemplate Behavior [ RunTime:0.014290s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014348s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_filter ] --START--
